Product Category,Column Name Raw,Column Name,Column Top Values,Column Unit,Column Min,Column Max,Column Definition,Approved
Notebooks,level_0,level_0,,,,,ID Column for the dataset.,True
Notebooks,index,index,,,,,ID Column for the dataset.,True
Notebooks,id,id,,,,,ID Column for the product.,True
Notebooks,name,name,,,,,Name of the product.,True
Notebooks,category_id,category_id,,,,,Category ID for the dataset.,True
Notebooks,category_label,category_label,,,,,Category Label for the dataset.,True
Notebooks,Processor cache.10041,Processor cache,"'8.0', '6.0', '12.0', '3.0', '2.0'",MB,1.0,12.0,"The processor cache is a crucial component of a notebook's performance. It is a small, fast memory located inside the processor that stores frequently used data or instructions. The size of the processor cache can vary, with larger caches providing better performance. This column represents the size of the processor cache in megabytes (MB). Valid values range from 1.0 MB to 12.0 MB, inclusive.",True
Notebooks,Processor cache.10041.unit,Processor cache_unit,,,,,The unit of measure for the Processor cache column.,True
Notebooks,Numeric keypad.1006,Numeric keypad,'False',,,,A column that indicates whether the notebook has a numeric keypad. The value in this column will be either true or false.,True
Notebooks,Numeric keypad.1006.unit,Numeric keypad_unit,,,,,The unit of measure for the Numeric keypad column.,True
Notebooks,Processor manufacturer.1013,Processor manufacturer,"'Intel', 'AMD', 'Qualcomm'",,,,"The manufacturer of the processor in the notebook. Examples of processor manufacturers include Intel, AMD, MediaTek, Qualcomm, and NVIDIA.",True
Notebooks,Processor manufacturer.1013.unit,Processor manufacturer_unit,,,,,The unit of measure for the Processor manufacturer column.,True
Notebooks,Idle States.10197,Idle States,'False',,,,A string that indicates whether the notebook is in an idle state. The value can be either True or False.,True
Notebooks,Idle States.10197.unit,Idle States_unit,,,,,The unit of measure for the Idle States column.,True
Notebooks,Intel Trusted Execution Technology.10200,Intel Trusted Execution Technology,'False',,,,"Intel Trusted Execution Technology is a security technology that is built into some Intel processors. It helps to protect your system from malware and other threats. Some of the processors that have this technology are Core i5, Core i7, and Core i9.",True
Notebooks,Intel Trusted Execution Technology.10200.unit,Intel Trusted Execution Technology_unit,,,,,The unit of measure for the Intel Trusted Execution Technology column.,True
Notebooks,Built-in microphone.1025,Built-in microphone,'False',,,,This column represents the presence of a built-in microphone on the laptop. Values will be True or False.,True
Notebooks,Built-in microphone.1025.unit,Built-in microphone_unit,,,,,The unit of measure for the Built-in microphone column.,True
Notebooks,CPU configuration (max).10275,CPU configuration (max),'1.0',,1.0,1.0,"The CPU configuration of the notebook, which represents the maximum amount of processors that can be used in the product. The value is a positive integer.",True
Notebooks,CPU configuration (max).10275.unit,CPU configuration (max)_unit,,,,,The unit of measure for the CPU configuration (max) column.,True
Notebooks,Intel VT-x with Extended Page Tables (EPT).10282,Intel VT-x with Extended Page Tables (EPT),'False',,,,Intel VT-x with Extended Page Tables (EPT) is a technology that allows the processor to use extended page tables to perform address translation and memory protection. It is a feature of Intel processors that allows them to support virtual machines and other environments that require multiple levels of address translation. The technology is designed to improve the performance of virtual machines and to reduce the overhead associated with address translation.,True
Notebooks,Intel VT-x with Extended Page Tables (EPT).10282.unit,Intel VT-x with Extended Page Tables (EPT)_unit,,,,,The unit of measure for the Intel VT-x with Extended Page Tables (EPT) column.,True
Notebooks,Embedded options available.10283,Embedded options available,'False',,,,"The availability of embedded options in the notebook. Options may include a touch screen, a fingerprint sensor, or a backlit keyboard. If the notebook has any embedded options, they will be listed here. If there are no embedded options, the value will be False.",True
Notebooks,Embedded options available.10283.unit,Embedded options available_unit,,,,,The unit of measure for the Embedded options available column.,True
Notebooks,Keyboard backlit.11149,Keyboard backlit,'False',,,,"Denotes whether the keyboard has backlighting to facilitate typing in low-light environments or not. This is a boolean value, where 'True' indicates that the keyboard is backlit and 'False' indicates that it is not.",True
Notebooks,Keyboard backlit.11149.unit,Keyboard backlit_unit,,,,,The unit of measure for the Keyboard backlit column.,True
Notebooks,Optical drive type.1120,Optical drive type,"'N', 'DVDÂ±RW', 'DVDÂ±R'",,,,"The type of optical drive included in the notebook. Examples include: N, DVD Super Multi, DVD¬±RW, DVD Super Multi DL, DVD-RW.",True
Notebooks,Optical drive type.1120.unit,Optical drive type_unit,,,,,The unit of measure for the Optical drive type column.,True
Notebooks,Memory layout (slots x size).11380,Memory layout (slots x size),"'1 x 4', '1 x 8', '2 x 8', '2 x 4'",,,,"The memory layout of the notebook. Describes the number of slots and the size of each slot. Example: 1 x 4, 1 x 8, 2 x 8, 2 x 4, 1 x 16",True
Notebooks,Memory layout (slots x size).11380.unit,Memory layout (slots x size)_unit,,,,,The unit of measure for the Memory layout (slots x size) column.,True
Notebooks,Internal memory.11381,Internal memory,"'8.0', '16.0', '4.0', '32.0', '2.0'",GB,2.0,32.0,"The internal memory of the notebook, measured in gigabytes (GB). This is the memory available for the operating system and applications to use. The minimum internal memory is 0.25 GB, and the maximum internal memory is 128 GB.",True
Notebooks,Internal memory.11381.unit,Internal memory_unit,,,,,The unit of measure for the Internal memory column.,True
Notebooks,Native aspect ratio.11417,Native aspect ratio,"'3:02', '16:09', '16:10'",,,,"The aspect ratio of the native display of the notebook. The format of this ratio is a string of two integers separated by a colon. For example, 16:9 is a common aspect ratio.",True
Notebooks,Native aspect ratio.11417.unit,Native aspect ratio_unit,,,,,The unit of measure for the Native aspect ratio column.,True
Notebooks,HD type.11424,HD type,"'HD', 'Full HD', 'HD+', 'Quad HD', 'WQXGA'",,,,"The type of high definition display that the notebook has. Examples include Full HD, HD, HD+, Not supported, and 4K Ultra HD.",True
Notebooks,HD type.11424.unit,HD type_unit,,,,,The unit of measure for the HD type column.,True
Notebooks,Storage media.11441,Storage media,"'SSD', 'HDD', 'eMMC', 'Hybrid-HDD', 'Flash'",,,,"The type of storage media used in the notebook. Can be SSD, HDD, HDD+SSD, Hybrid-HDD, or eMMC. Note that a Hybrid-HDD is a hard drive that contains a SSD cache for faster boot times and improved performance.",True
Notebooks,Storage media.11441.unit,Storage media_unit,,,,,The unit of measure for the Storage media column.,True
Notebooks,Bluetooth version.1208,Bluetooth version,"'5.0', '4.1', '5.1', '4.0', '5.2'",,4.0,5.2,"The Bluetooth version of the notebook. The value should be a string that represents the version of Bluetooth that is supported by the notebook. Examples include '4.0', '4.1', '5.0', '4.2', and '5.1'.",True
Notebooks,Bluetooth version.1208.unit,Bluetooth version_unit,,,,,The unit of measure for the Bluetooth version column.,True
Notebooks,Number of battery cells.1226,Number of battery cells,"'4.0', '6.0', '3.0', '2.0'",,2.0,6.0,The number of battery cells in the notebook. The cells are the individual batteries that power the notebook. The value is always an integer.,True
Notebooks,Number of battery cells.1226.unit,Number of battery cells_unit,,,,,The unit of measure for the Number of battery cells column.,True
Notebooks,Front camera.12436,Front camera,'False',,,,A camera that is located on the front of the notebook. The camera is typically used for video chatting and taking pictures. The camera can be either built-in or external.,True
Notebooks,Front camera.12436.unit,Front camera_unit,,,,,The unit of measure for the Front camera column.,True
Notebooks,Ethernet LAN.1347,Ethernet LAN,'False',,,,"Denotes whether the notebook has an Ethernet LAN connection. If the value is 'True', the notebook has an Ethernet LAN connection. If the value is 'False', the notebook does not have an Ethernet LAN connection.",True
Notebooks,Ethernet LAN.1347.unit,Ethernet LAN_unit,,,,,The unit of measure for the Ethernet LAN column.,True
Notebooks,Product type.14052,Product type,"'Notebook', 'Hybrid (2-in-1)', 'Chromebook'",,,,"Type of notebook. Examples include 'Notebook', 'Hybrid (2-in-1)', 'Mobile workstation', 'Ultrabook', 'Chromebook'.",True
Notebooks,Product type.14052.unit,Product type_unit,,,,,The unit of measure for the Product type column.,True
Notebooks,Height.1464,Height,"'14.5', '15.69', '22.9', '14.7', '24.9'",mm,11.176,202.3,"Height of the notebook, measured in millimeters. This measurement is taken from the base of the notebook to the highest point of the notebook. Notebooks with a height of 11.176 mm or less are considered to be ultra-portable, whereas notebooks with a height over 21.344 mm are considered to be desktop replacement laptops.",True
Notebooks,Height.1464.unit,Height_unit,,,,,The unit of measure for the Height column.,True
Notebooks,Antenna type.1494,Antenna type,"'2x2', '1x1'",,,,"The antenna type of the notebook. Examples include 2x2, 1x1, and 1x2. The format of the entries is a string.",True
Notebooks,Antenna type.1494.unit,Antenna type_unit,,,,,The unit of measure for the Antenna type column.,True
