column_cleaned,column_values,column_unit,column_min,column_max
Processor cache,"'8.0', '6.0', '12.0', '3.0', '2.0'",MB,1.0,12.0
Numeric keypad,'False',N/A,N/A,N/A
Processor manufacturer,"'Intel', 'AMD', 'Qualcomm'",N/A,N/A,N/A
Idle States,'False',N/A,N/A,N/A
Intel Trusted Execution Technology,'False',N/A,N/A,N/A
Built-in microphone,'False',N/A,N/A,N/A
CPU configuration (max),'1.0',N/A,1.0,1.0
Intel VT-x with Extended Page Tables (EPT),'False',N/A,N/A,N/A
Embedded options available,'False',N/A,N/A,N/A
Keyboard backlit,'False',N/A,N/A,N/A
Optical drive type,"'N', 'DVDÂ±RW', 'DVDÂ±R'",N/A,N/A,N/A
Memory layout (slots x size),"'1 x 4', '1 x 8', '2 x 8', '2 x 4'",N/A,N/A,N/A
Internal memory,"'8.0', '16.0', '4.0', '32.0', '2.0'",GB,2.0,32.0
Native aspect ratio,"'3:02', '16:09', '16:10'",N/A,N/A,N/A
HD type,"'HD', 'Full HD', 'HD+', 'Quad HD', 'WQXGA'",N/A,N/A,N/A
Storage media,"'SSD', 'HDD', 'eMMC', 'Hybrid-HDD', 'Flash'",N/A,N/A,N/A
Bluetooth version,"'5.0', '4.1', '5.1', '4.0', '5.2'",N/A,4.0,5.2
Number of battery cells,"'4.0', '6.0', '3.0', '2.0'",N/A,2.0,6.0
Front camera,'False',N/A,N/A,N/A
Ethernet LAN,'False',N/A,N/A,N/A
Product type,"'Notebook', 'Hybrid (2-in-1)', 'Chromebook'",N/A,N/A,N/A
Height,"'14.5', '15.69', '22.9', '14.7', '24.9'",mm,11.176,202.3
Antenna type,"'2x2', '1x1'",N/A,N/A,N/A
Display resolution,"'2256 x 1504', '1536 x 1024', '1366 x 768', '2496 x 1664', '1920 x 1080'",pixels,N/A,N/A
Width,"'278.18', '308.0', '380.0', '339.5', '305.0'",mm,224.8,418.0
Depth,"'223.0', '205.67', '262.0', '224.0', '292.6'",mm,16.7,323.9
Speaker power,"'1.5', '2.0', '4.0', '5.0', '1.2'",W,1.2,10.0
Intel Stable Image Platform Program (SIPP),'False',N/A,N/A,N/A
