Certification,Mandate Number,Mandate title,Mandate Description
TCO,1.2.1,Product specification,The weight of the typical product configuration and power supply (without packaging) must be reported.
TCO,5.2.1,Display resolution,"The display panel should have a pixel density of at least 100 PPI.The defined viewing distance in this criteria document is 55 cm, which can be regarded as a normal viewing distance to a notebook computer placed on a table, based on anthropometric data. As the notebook display is attached to the keyboard, the viewing distance is linked to the reach of the notebook keyboard.
PPI = [sqrt(horizontal pixels^2 + vertical pixels^2)] / diagonal of the panel in inches"
TCO,5.3.1,Correlated color temperature,The product default preset correlated color temperature may have any name but must have a color difference du'v' <= 0.02 when compared to CIE u' and v' chromaticity coordinates for D65.The correlated color temperature is a measure of the perceived screen color expressed in Kelvin (K).
TCO,5.4.1,Color gamut,"The minimum color triangle must have the following coordinates: 
Red u': >= 0.375
Red v': >= 0.503
Green u': <= 0.160
Green v': >= 0.548
Blue u': >= 0.135
Blue v': <= 0.305
The u' and v' chromaticity coordinates of the primary colors red (R), green (G) and blue (B) of the screen must aim at values given in international IEC, EBU and ITU standards. The u' and v' chromaticity coordinates of the primary colors R, G and B form a triangle in the CIE 1976 uniform chromaticity scale diagram. The larger the area of the triangle, the wider the range of colors the screen is capable of presenting."
TCO,5.5.1,Color uniformity,"The maximum color deviation between measured active areas on the screen that are intended to maintain the same color must be du'v' <= 0.012.
du'v' = sqrt[(u'A - u'B)^2 + (v'A - v'B)^2]"
TCO,5.6.1,Color uniformity - angular dependence,"In landscape mode, the du'v' between areas on the left side and the right side of the screen
when it is positioned at +15 degrees and at -15 degrees horizontally to the screen normal (rotated around the vertical axis through the center of the screen) must be <= 0.025."
TCO,5.7.1,Color grayscale linearity,"The du'v' <= the maximum allowed difference for each step according to table color grayscale linearity 

1.Table:
255/255: 0
255/225: 0,045
255/195: 0,045
255/165: 0,050
255/165: 0,050
255/135: 0,055
255/105: 0,055
225/225: 0
225/195: 0,045
225/165: 0,050
225/135: 0,055
225/105: 0,055
195/195: 0
195/165: 0,050
195/135: 0,050
195/105: 0,055
165/165: 0
165/135: 0,050
165/105: 0,055
135/135: 0
135/105: 0,050
105/105: 0"
TCO,5.8.1,Luminance level,The maximum luminance must be >=150 cd/m2 (candela per square meter).
TCO,5.9.1,Luminance uniformity,"The luminance uniformity is defined as the ratio of maximum to minimum luminance within the fully active screen area. Luminance variation across the active screen, Lmax : Lmin must be <= 1.60."
TCO,5.10.1,Luminance uniformity - angular-dependence,"Luminance uniformity – angular dependence, is the capacity of a display to maintain a certain luminance level irrespective of the viewing direction. The angular-dependent luminance uniformity is defined as the ratio of maximum luminance to minimum luminance in the specified measurement areas. In landscape mode, when the screen is rotated around the vertical axis through the center of the screen the mean value of the Lmax to Lmin ratios at +-15 degrees must be <= 3.00."
